step,timestamp,bandwidth_kbps_raw,bandwidth_bps,bandwidth_mbps
349,2018.01.19_07.38.15,54801.0,54801000.0,54.801
350,2018.01.19_07.38.16,45641.0,45641000.0,45.641
351,2018.01.19_07.38.17,48784.0,48784000.0,48.784
352,2018.01.19_07.38.18,55774.0,55774000.0,55.774
353,2018.01.19_07.38.19,38047.0,38047000.0,38.047
354,2018.01.19_07.38.20,30398.0,30398000.0,30.398
355,2018.01.19_07.38.21,36146.0,36146000.0,36.146
356,2018.01.19_07.38.22,28105.0,28105000.0,28.105
357,2018.01.19_07.38.23,13745.0,13745000.0,13.745
358,2018.01.19_07.38.25,24593.0,24593000.0,24.593
359,2018.01.19_07.38.26,23620.0,23620000.0,23.62
360,2018.01.19_07.38.27,25175.0,25175000.0,25.175
361,2018.01.19_07.38.28,31013.0,31013000.0,31.013
362,2018.01.19_07.38.29,23531.0,23531000.0,23.531
363,2018.01.19_07.38.30,23140.0,23140000.0,23.14
364,2018.01.19_07.38.31,50495.0,50495000.0,50.495
365,2018.01.19_07.38.32,42547.0,42547000.0,42.547
366,2018.01.19_07.38.33,57452.0,57452000.0,57.452
367,2018.01.19_07.38.35,25219.0,25219000.0,25.219
368,2018.01.19_07.38.36,36806.0,36806000.0,36.806
369,2018.01.19_07.38.37,59029.0,59029000.0,59.029
370,2018.01.19_07.38.38,48728.0,48728000.0,48.728
371,2018.01.19_07.38.39,34793.0,34793000.0,34.793
372,2018.01.19_07.38.40,51166.0,51166000.0,51.166
373,2018.01.19_07.38.41,47084.0,47084000.0,47.084
374,2018.01.19_07.38.42,36113.0,36113000.0,36.113
375,2018.01.19_07.38.43,56736.0,56736000.0,56.736
376,2018.01.19_07.38.44,68960.0,68960000.0,68.96
377,2018.01.19_07.38.46,66265.0,66265000.0,66.265
378,2018.01.19_07.38.47,44322.0,44322000.0,44.322
379,2018.01.19_07.38.48,50909.0,50909000.0,50.909
380,2018.01.19_07.38.49,73065.0,73065000.0,73.065
381,2018.01.19_07.38.50,81318.0,81318000.0,81.318
382,2018.01.19_07.38.51,100633.0,100633000.0,100.633
383,2018.01.19_07.38.52,79820.0,79820000.0,79.82
384,2018.01.19_07.38.53,57608.0,57608000.0,57.608
385,2018.01.19_07.38.54,62473.0,62473000.0,62.473
386,2018.01.19_07.38.55,60114.0,60114000.0,60.114
387,2018.01.19_07.38.56,59946.0,59946000.0,59.946
388,2018.01.19_07.38.57,75033.0,75033000.0,75.033
389,2018.01.19_07.38.58,68815.0,68815000.0,68.815
390,2018.01.19_07.39.00,61377.0,61377000.0,61.377
391,2018.01.19_07.39.01,70761.0,70761000.0,70.761
392,2018.01.19_07.39.02,78310.0,78310000.0,78.31
393,2018.01.19_07.39.03,76465.0,76465000.0,76.465
394,2018.01.19_07.39.04,65851.0,65851000.0,65.851
395,2018.01.19_07.39.05,37611.0,37611000.0,37.611
396,2018.01.19_07.39.06,21898.0,21898000.0,21.898
397,2018.01.19_07.39.07,21898.0,21898000.0,21.898
398,2018.01.19_07.39.07,46066.0,46066000.0,46.066
399,2018.01.19_07.39.08,58794.0,58794000.0,58.794
400,2018.01.19_07.39.09,38204.0,38204000.0,38.204
401,2018.01.19_07.39.10,37734.0,37734000.0,37.734
402,2018.01.19_07.39.12,37869.0,37869000.0,37.869
403,2018.01.19_07.39.13,43550.0,43550000.0,43.55
404,2018.01.19_07.39.14,50797.0,50797000.0,50.797
405,2018.01.19_07.39.15,51177.0,51177000.0,51.177
406,2018.01.19_07.39.16,46749.0,46749000.0,46.749
407,2018.01.19_07.39.17,37600.0,37600000.0,37.6
408,2018.01.19_07.39.18,37432.0,37432000.0,37.432
409,2018.01.19_07.39.19,21719.0,21719000.0,21.719
410,2018.01.19_07.39.20,31784.0,31784000.0,31.784
411,2018.01.19_07.39.21,44702.0,44702000.0,44.702
412,2018.01.19_07.39.22,35744.0,35744000.0,35.744
413,2018.01.19_07.39.24,31572.0,31572000.0,31.572
414,2018.01.19_07.39.25,27725.0,27725000.0,27.725
415,2018.01.19_07.39.26,35542.0,35542000.0,35.542
416,2018.01.19_07.39.27,33719.0,33719000.0,33.719
417,2018.01.19_07.39.28,14762.0,14762000.0,14.762
418,2018.01.19_07.39.29,27803.0,27803000.0,27.803
419,2018.01.19_07.39.30,20690.0,20690000.0,20.69
420,2018.01.19_07.39.31,13185.0,13185000.0,13.185
421,2018.01.19_07.39.32,19773.0,19773000.0,19.773
422,2018.01.19_07.39.34,26450.0,26450000.0,26.45
423,2018.01.19_07.39.35,24973.0,24973000.0,24.973
424,2018.01.19_07.39.36,15679.0,15679000.0,15.679
425,2018.01.19_07.39.37,19135.0,19135000.0,19.135
426,2018.01.19_07.39.38,20310.0,20310000.0,20.31
427,2018.01.19_07.39.39,24325.0,24325000.0,24.325
428,2018.01.19_07.39.40,23363.0,23363000.0,23.363
429,2018.01.19_07.39.41,22748.0,22748000.0,22.748
430,2018.01.19_07.39.42,25242.0,25242000.0,25.242
431,2018.01.19_07.39.43,25790.0,25790000.0,25.79
432,2018.01.19_07.39.45,21093.0,21093000.0,21.093
433,2018.01.19_07.39.46,15199.0,15199000.0,15.199
434,2018.01.19_07.39.47,9786.0,9786000.0,9.786
435,2018.01.19_07.39.48,11832.0,11832000.0,11.832
436,2018.01.19_07.39.49,7113.0,7113000.0,7.113
437,2018.01.19_07.39.50,12056.0,12056000.0,12.056
438,2018.01.19_07.39.51,10546.0,10546000.0,10.546
439,2018.01.19_07.39.52,10412.0,10412000.0,10.412
440,2018.01.19_07.39.54,17916.0,17916000.0,17.916
441,2018.01.19_07.39.55,24000.0,24000000.0,24.0
442,2018.01.19_07.39.56,27445.0,27445000.0,27.445
443,2018.01.19_07.39.57,17804.0,17804000.0,17.804
444,2018.01.19_07.39.58,5625.0,5625000.0,5.625
445,2018.01.19_07.39.59,3254.0,3254000.0,3.254
446,2018.01.19_07.40.00,5659.0,5659000.0,5.659
447,2018.01.19_07.40.01,12760.0,12760000.0,12.76
448,2018.01.19_07.40.02,17804.0,17804000.0,17.804
449,2018.01.19_07.40.04,18319.0,18319000.0,18.319
450,2018.01.19_07.40.05,15825.0,15825000.0,15.825
451,2018.01.19_07.40.06,7068.0,7068000.0,7.068
452,2018.01.19_07.40.07,15659.0,15659000.0,15.659
453,2018.01.19_07.40.08,14416.0,14416000.0,14.416
454,2018.01.19_07.40.09,24031.0,24031000.0,24.031
455,2018.01.19_07.40.10,24537.0,24537000.0,24.537
456,2018.01.19_07.40.11,12872.0,12872000.0,12.872
457,2018.01.19_07.40.13,20701.0,20701000.0,20.701
458,2018.01.19_07.40.14,14885.0,14885000.0,14.885
459,2018.01.19_07.40.15,28888.0,28888000.0,28.888
